ground,vehicle,count
sharp,poniard,3
sharp,obsidian,3
sharp,salt,3
sharp,falcon,3
sharp,beak,3
sharp,sickle,3
sharp,grief,3
sharp,hunger,3
sharp,saw,3
sharp,indian,3
cool,air,3
cool,steel,3
cool,knife,3
cool,popsicle,3
cool,rain,3
cool,judge,3
cool,glass,3
cool,river,3
cool,cat,3
cool,dew,3
dark,iron,3
dark,ruby,3
dark,gunmetal,3
dark,nightmare,3
dark,coffin,3
dark,asphalt,3
dark,womb,3
dark,blindness,3
dark,espresso,3
dark,night stone,3
dark,cinnamon,3
dark,eye,3
dark,ocean floor,3
dark,licorice,3
dark,winter,3
dark,room,3
dark,sapphire,3
dark,sable,3
red,clown,3
red,rhubarb,3
red,chili,3
red,anger,3
red,garnet,3
red,geranium,3
red,sunburn,3
red,copper,3
red,plum,3
red,sin,3
red,petal,3
red,currant,3
red,earth,3
red,flower,3
red,moon,3
thick,corpse,3
thick,jelly,3
thick,spider web,3
thick,gruel,3
thick,lion's mane,3
thick,shag carpet,3
thick,castle,3
thick,railroad tie,3
thick,night crawler,3
thick,crude oil,3
thick,pea-soup fog,3
thick,door,3
thick,cloth,3
thick,branch,3
thick,gelatin,3
thick,bratwurst,3
thick,sea,3
thick,mosquito,3
thick,peanut butter,3
thick,hair,3
thick,horn,3
thick,morning fog,3
thick,goggle,3
thick,pitch,3
thick,sweat,3
thick,crowbar,3
thick,bear,3
thick,firefly,3
thick,incense,3
thick,grave,3
thick,hedgerow,3
thick,tower,3
thick,blizzard,3
thick,grease,3
thick,book,3
thick,horsehair,3
thick,soda straw,3
thick,ice cream,3
thick,thumb,3
thick,sunset,3
thick,cigar,3
thick,fire hose,3
thick,buffalo,3
plain,homespun,3
plain,mud,3
plain,stone,3
plain,piecrust,3
plain,speech,3
plain,pudding,3
plain,sunlight,3
plain,map,3
plain,light,3
strong,incense,3
strong,riptide,3
strong,fist,3
strong,titanium,3
strong,ant,3
strong,gravity,3
strong,lioness,3
strong,earth,3
strong,current,3
strong,diamond,3
strong,punch,3
strong,river,3
strong,warrior,3
strong,pike,3
strong,werewolf,3
strong,blacksmith,3
strong,kitten,3
strong,storm,3
strong,castle,3
strong,blow,3
strong,metal,3
strong,god,3
strong,wire,3
strong,hulk,3
strong,dragon,3
strong,colt,3
strong,whale,3
strong,troll,3
strong,shark,3
strong,prizefighter,3
strong,dollar,3
bright,parrot,3
bright,hellfire,3
bright,tin,3
bright,snow,3
bright,child,3
bright,blackbird,3
bright,tomato,3
bright,searchlight,3
bright,hawk,3
bright,crow,3
bright,ice,3
bright,angel,3
bright,glass,3
bright,spark,3
bright,cat,3
bright,music,3
bright,silk,3
bright,rose,3
bright,dime,3
bright,bee,3
bright,poppy,3
bright,cherry,3
bright,sparrow,3
bright,fever,3
bright,bead,3
poor,snail,3
wide,fist,3
wide,tree,3
wide,church,3
wide,ox,3
wide,earth,3
wide,space,3
wide,city street,3
wide,gate,3
wide,cheshire cat,3
wide,teacup,3
wide,tunnel,3
wide,deer,3
wide,egg,3
wide,refrigerator,3
wide,car,3
wide,railroad track,3
wide,oven,3
wide,runway,3
wide,sun,3
wide,sunrise,3
wide,barrel,3
wide,watermelon,3
wide,motorway,3
wide,mankind,3
blue,smoke,3
blue,ink,3
blue,caribbean,3
blue,water,3
blue,berry,3
blue,river,3
blue,kingfisher wing,3
blue,dream,3
blue,glacier,3
blue,stone,3
steady,wind,3
steady,metronome,3
steady,judge,3
steady,tide,3
steady,horse,3
bold,lord,3
bold,hero,3
brave,caesar,3
brave,tiger,3
brave,soldier,3
brave,mouse,3
stiff,pillar,3
stiff,rawhide,3
stiff,rusty hinge,3
stiff,toothbrush,3
stiff,armor,3
stiff,glass,3
stiff,puppet,3
stiff,rigor mortis,3
stiff,flagpole,3
stiff,brush,3
stiff,spear,3
stiff,death,3
quick,fox,3
quick,hummingbird,3
quick,hawk,3
quick,ferret,3
quick,spider,3
quick,letter,3
quick,man,3
quick,thunder,3
quick,weasel,3
quick,child,3
stubborn,horse,3
stubborn,pig,3
weak,feather,3
weak,chicken,3
pretty,daisy,3
pretty,movie star,3
pretty,painting,3
pretty,butterfly,3
pretty,summer day,3
pretty,snake,3
pretty,pie,3
pretty,star,3
straight,rail,3
straight,cypress,3
straight,spindle,3
straight,bird,3
straight,broomstick,3
straight,straw,3
straight,corkscrew,3
straight,razor,3
straight,ironing board,3
straight,palm tree,3
straight,marine,3
blind,fish,3
blind,rest,3
blind,justice,3
blind,worm,3
blind,puppy,3
soft,granite,3
soft,sable,3
soft,sunlight,3
soft,skin,3
soft,fawn,3
soft,leather,3
soft,cloth,3
soft,leaf,3
soft,sunrise,3
soft,daisy,3
soft,spaniel,3
soft,baked apple,3
soft,carpet,3
soft,soap,3
soft,sky,3
true,bell,3
true,life,3
sure,tide,3
sure,stone,3
sure,season,3
dry,reed,3
dry,wood,3
dry,flour,3
dry,tinderbox,3
dry,orange,3
dry,kex,3
dry,carpet,3
dry,lizard skin,3
dry,mummy,3
dry,furnace,3
mad,meat axe,3
mad,devil,3
mad,bedlam,3
mad,loon,3
gentle,spider web,3
gentle,mist,3
gentle,rest,3
gentle,doe,3
gentle,water,3
gentle,rabbit,3
gentle,nun,3
gentle,velvet,3
gentle,morning,3
gentle,dog,3
motionless,wax figure,3
motionless,sphinx,3
fresh,first,3
fresh,snow,3
fresh,lily,3
fresh,grass,3
fresh,violet,3
fresh,baby,3
fresh,egg,3
fresh,hay,3
fresh,two-year-old,3
fresh,bird,3
neat,cat,3
solid,curtain,3
solid,jell-o,3
solid,reality,3
solid,flesh,3
solid,planet,3
solid,mist,3
solid,ice,3
solid,bone,3
fit,olympian,3
fit,athlete,3
fit,horse,3
fit,prizefighter,3
fit,racehorse,3
clean,death,3
clean,rain,3
clean,cat,3
clean,floor,3
sweet,lamb,3
sweet,summer breeze,3
sweet,life,3
sweet,vinegar,3
sweet,rattlesnake,3
sweet,chocolate,3
sweet,marzipan,3
sweet,flute,3
sweet,summer,3
sweet,apple,3
sweet,pink,3
sweet,heaven,3
helpless,turtle,3
hungry,hell,3
hungry,shark,3
pure,heaven,3
pure,saint,3
pure,morning,3
pure,bell,3
pure,ice,3
pure,ether,3
innocent,virgin,3
innocent,doe,3
innocent,apple pie,3
innocent,butterfly,3
innocent,all get-out,3
innocent,sleeping child,3
deep,sword,3
deep,darkness,3
deep,trench,3
deep,sin,3
deep,wood,3
deep,pacific,3
deep,barrel,3
deep,wound,3
deep,emerald,3
deep,water,3
deep,cup,3
deep,pain,3
deep,bell,3
tight,steel,3
tight,stone,3
tight,balloon,3
tight,coffin,3
tight,garrote,3
tight,sardine,3
tight,skin,3
tight,fiddle,3
tight,top,3
tight,mask,3
tight,trap,3
tight,coil,3
tight,lampshade,3
tight,herring,3
flat,carpet,3
flat,fish,3
flat,corpse,3
flat,biscuit,3
flat,floor,3
flat,tapeworm,3
flat,parking lot,3
flat,dime,3
flat,cardboard,3
flat,wafer,3
loud,waterfall,3
loud,engine,3
loud,banshee,3
loud,wave,3
loud,heartbeat,3
loud,shotgun,3
loud,sea,3
loud,whip,3
loud,giant,3
loud,slap,3
loud,horse,3
loud,river,3
loud,laughter,3
happy,pie,3
happy,bride,3
happy,butterfly,3
happy,baby,3
happy,emperor,3
happy,turtle-dove,3
heavy,velvet,3
heavy,mud,3
heavy,tree trunk,3
heavy,turtle,3
heavy,guilt,3
heavy,paperweight,3
heavy,incense,3
heavy,cloak,3
heavy,ox,3
heavy,humidity,3
heavy,steam,3
heavy,bull,3
free,sky,3
free,sunlight,3
warm,mother's love,3
warm,cat,3
warm,sunrise,3
warm,tropics,3
warm,butter,3
warm,steam,3
warm,flesh,3
warm,furnace,3
warm,womb,3
warm,kiss,3
warm,dry ice,3
busy,road,3
busy,city,3
regular,season,3
regular,machine,3
hot,lightning,3
hot,bonfire,3
hot,iron,3
hot,stone,3
hot,blood,3
hot,anger,3
hot,sin,3
hot,stovetop,3
hot,star,3
hot,purgatory,3
hot,cinder,3
hot,devil,3
close,ghost,3
close,kin,3
close,blood,3
close,devil,3
firm,granite,3
firm,hill,3
ugly,mule,3
ugly,bear,3
ugly,night,3
fast,storm,3
fast,whip,3
fast,weed,3
fast,auctioneer,3
fast,cloud,3
fast,rat,3
fast,ghost,3
fast,eagle,3
fast,wine,3
fast,machine,3
fast,swallow,3
fast,cockroach,3
fast,computer,3
fast,turtle,3
fast,lion,3
fast,jet,3
fast,sunset,3
fast,greyhound,3
fast,breath,3
fast,water,3
fast,snail,3
proud,fire,3
proud,rooster,3
proud,princess,3
fine,lord,3
fine,wire,3
fine,air,3
fine,porcelain,3
fine,down,3
fine,fiddler,3
fine,bird,3
tall,cliff,3
tall,beanpole,3
rigid,ice,3
rigid,bronze,3
thin,spaghetti,3
thin,lace,3
thin,weasel,3
thin,coat hanger,3
thin,gold,3
thin,spindle,3
thin,cracker,3
thin,whistle,3
thin,coin,3
thin,willow,3
thin,eel,3
thin,fingernail,3
thin,model,3
thin,stray dog,3
thin,hope,3
thin,stork,3
thin,whippet,3
thin,filament,3
thin,pipe stem,3
thin,temper,3
thin,rapier,3
thin,chopstick,3
thin,feather,3
thin,finger,3
thin,shad,3
large,silver dollar,3
large,haystack,3
large,umbrella,3
large,asteroid,3
large,hand,3
large,golf ball,3
large,church,3
large,death,3
large,sheep,3
large,wood,3
large,roc,3
large,tiger,3
large,ogre,3
large,feather,3
large,continent,3
large,lemon,3
large,building,3
large,man,3
large,hill,3
large,wagon wheel,3
large,cannon,3
easy,paper,3
easy,baby,3
easy,kiss,3
easy,cradle,3
high,city wall,3
high,eiffel tower,3
high,roof,3
high,queen,3
high,temperature,3
high,hawk,3
nervous,mouse,3
nervous,bride,3
nervous,bridegroom,3
round,teacup,3
round,cannonball,3
round,cheese,3
round,peach,3
round,bullet,3
sound,baby,3
dead,doll,3
dead,dogshit,3
dead,disco,3
dead,ash,3
dead,rest,3
dead,dog,3
dead,ditch water,3
dead,nit,3
dead,wood,3
dead,shark,3
dead,caesar,3
dead,rat,3
brown,penny,3
brown,conker,3
brown,dirt,3
dull,post,3
dull,spoon,3
dull,brick,3
dull,sermon,3
crazy,horse,3
crazy,lizard,3
crazy,other,3
bald,cannonball,3
bald,eagle,3
bald,light bulb,3
bald,kneecap,3
bald,doorknob,3
bald,onion,3
transparent,onion skin,3
transparent,plastic wrap,3
transparent,spider web,3
transparent,wind,3
drunk,loon,3
drunk,bat,3
limp,water,3
limp,spaghetti,3
limp,dead fish,3
limp,seaweed,3
limp,dead,3
beautiful,lullaby,3
beautiful,calligraphy,3
beautiful,queen,3
beautiful,garden,3
beautiful,michelangelo's david,3
beautiful,jewel,3
beautiful,pearl,3
beautiful,snow,3
green,wave,3
green,glass,3
green,jewel,3
green,summer,3
green,golf course,3
green,seaweed,3
green,cucumber,3
green,pea,3
green,asparagus,3
green,pea soup,3
fat,fist,3
fat,pumpkin,3
fat,porpoise,3
tough,tank,3
tough,gristle,3
tough,old saddle,3
tough,cable,3
tough,teak,3
tough,gutta percha,3
serious,murder,3
serious,funeral,3
rough,burlap,3
rough,bristle,3
rough,gut,3
rough,file,3
rough,sharkskin,3
rough,sea,3
solemn,monk,3
solemn,death,3
solemn,church,3
solemn,hearse,3
simple,pie,3
simple,smile,3
simple,fairy tale,3
swift,thought,3
swift,river,3
swift,fire,3
swift,bullet,3
gray,iron,3
gray,concrete,3
gray,battleship,3
gray,ice,3
gray,sheet,3
gray,cloudy day,3
gray,shale,3
gray,stormy sky,3
gray,winter,3
gray,morning,3
gray,storm,3
gray,dishwater,3
gray,driftwood,3
common,cockroach,3
common,sparrow,3
common,rat,3
common,wind,3
common,weed,3
common,old boot,3
keen,fox,3
distant,stranger,3
distant,cloud,3
distant,mirage,3
distant,planet,3
dumb,plank,3
dumb,stick,3
dumb,doorknob,3
dumb,grave,3
dumb,mute,3
fragile,onion skin,3
fragile,reed,3
fragile,petal,3
fragile,rice paper,3
yellow,pumpkin,3
yellow,tallow,3
yellow,ivory,3
yellow,brass,3
yellow,orange,3
yellow,marigold,3
rich,star,3
rich,sin,3
rich,sunset,3
rich,pig,3
wild,lion's mane,3
wild,gypsy,3
wild,wolf,3
wild,panther,3
wild,banshee,3
wild,child,3
wild,night,3
wild,wilderness,3
bitter,coffee,3
bitter,tear,3
insubstantial,feather,3
graceful,gymnast,3
graceful,rhinoceros,3
graceful,fish,3
graceful,cloud,3
graceful,colt,3
graceful,nymph,3
graceful,lily,3
graceful,hippo,3
graceful,fairy,3
vast,city,3
vast,desert,3
vast,church,3
handsome,matinee idol,3
delicate,cat,3
delicate,silk,3
delicate,paper,3
delicate,leaf,3
delicate,dandelion puff,3
delicate,needle,3
delicate,cloud,3
stupid,pig,3
blank,plate,3
blank,snow,3
blank,ceiling,3
blank,cow,3
blank,fish,3
blank,mannequin,3
blank,mask,3
empty,marble,3
empty,ghost,3
empty,vacuum,3
empty,beggar's purse,3
empty,balloon,3
empty,black hole,3
empty,dry well,3
empty,barn,3
empty,mask,3
empty,sea,3
empty,soap bubble,3
empty,eggshell,3
empty,tunnel,3
small,pixie,3
small,comma,3
small,marble,3
small,peanut,3
small,mustard seed,3
small,fist,3
small,closet,3
pink,coral,3
powerful,magic,3
powerful,solar flare,3
powerful,lion,3
powerful,king,3
powerful,thunder,3
powerful,telescope,3
powerful,gorilla,3
powerful,bear,3
powerful,action,3
subtle,elephant,3
subtle,battering ram,3
subtle,whisper,3
subtle,smell,3
subtle,wrecking ball,3
subtle,bulldozer,3
subtle,thunderstorm,3
calm,bath,3
calm,river,3
calm,cow,3
calm,baby,3
calm,monk,3
calm,oyster,3
fierce,lightning,3
fierce,warrior,3
fierce,shark,3
lovely,spring,3
lovely,moon,3
lovely,bird,3
lovely,jewel,3
bad,dragon,3
bad,vampire,3
bad,poison,3
bad,cat,3
bad,divorce,3
bad,mud,3
bad,boy,3
bad,marriage,3
bad,murderer,3
bad,highwayman,3
broad,life,3
broad,shield,3
broad,wall,3
broad,sun,3
broad,horizon,3
broad,man,3
broad,moon,3
rare,gold,3
rare,solar eclipse,3
rare,comet,3
rare,genius,3
dense,water,3
dense,doorknob,3
dense,iron,3
dangerous,loaded gun,3
dangerous,devil,3
dangerous,bullet,3
dangerous,atom bomb,3
dangerous,wild beast,3
real,hell,3
real,lightning,3
real,river,3
real,unicorn,3
real,sunset,3
real,flesh,3
real,ghost,3
real,sun,3
real,sunlight,3
real,blood,3
real,wind,3
